"title","type","genres","releaseYear","imdbId","imdbAverageRating","imdbNumVotes","availableCountries","service"
"Akira","movie","Action, Animation, Drama",1988,"tt0094625",8,210805,"AG, AR, BE, BO, BR, CH, CL, CO, CR, CU, DO, EC, FR, GT, HK, HN, IT, JP, LC, LU, MX, NI, NL, PA, PE, PY, SM, SV, UY, VE","Netflix"
"Lost in Translation","movie","Comedy, Drama",2003,"tt0335266",7.7,502488,"CA","Netflix"
"The Dark Knight","movie","Action, Crime, Drama",2008,"tt0468569",9,2946547,"AD, AT, AU, BA, BG, CA, CH, CZ, DE, DK, ES, FI, HR, HU, IN, JP, KR, LI, LU, MD, ME, MK, NO, NZ, PL, PT, RO, RS, SE, SI, SK","Netflix"
"Ocean's Eleven","movie","Crime, Thriller",2001,"tt0240772",7.7,633093,"BE, HR","Netflix"
"Ocean's Twelve","movie","Crime, Thriller",2004,"tt0349903",6.5,420817,"BE","Netflix"
"Saw","movie","Horror, Mystery, Thriller",2004,"tt0387564",7.6,480545,"AL, AT, AZ, BG, BR, BY, CA, CZ, DE, DK, EE, ES, FI, GB, GG, GI, GR, HR, HU, IE, IS, IT, KR, LI, LT, LU, LV, MC, MD, ME, MK, MT, NO, PL, PT, RO, RS, SE, SI, SK, SM, UA","Netflix"
"Jackie Brown","movie","Crime, Drama, Thriller",1997,"tt0119396",7.5,382976,"AE, BH, DK, EG, FI, IQ, IS, IT, JO, KW, LB, LY, MC, MT, NO, OM, QA, SA, SE, SM, TR, YE","Netflix"
"Sin City: A Dame to Kill For","movie","Action, Crime, Thriller",2014,"tt0458481",6.5,172733,"AU, FJ, NZ, SG","Netflix"
"The Name of the Rose","movie","Drama, Mystery, Thriller",1986,"tt0091605",7.7,120011,"ES","Netflix"
"Amélie","movie","Comedy, Romance",2001,"tt0211915",8.3,806930,"JP, KR, TH","Netflix"
"The Wages of Fear","movie","Adventure, Drama, Thriller",1953,"tt0046268",8.1,68220,"AD, FR, GF, MC, PF","Netflix"
"Saw III","movie","Horror, Mystery, Thriller",2006,"tt0489270",6.2,217618,"AL, AT, AZ, BG, BR, BY, CZ, DE, DK, EE, FI, GB, GG, GI, GR, HR, HU, IE, IS, LI, LT, LU, LV, MD, ME, MK, MT, NO, PL, RO, RS, SE, SI, SK, UA","Netflix"
"Saw II","movie","Horror, Mystery",2005,"tt0432348",6.6,283179,"AL, AT, AZ, BG, BR, BY, CZ, DE, DK, EE, ES, FI, GB, GG, GI, GR, HR, HU, IE, IS, LI, LT, LU, LV, MD, ME, MK, MT, NO, PL, PT, RO, RS, SE, SI, SK, UA","Netflix"
"Indiana Jones and the Kingdom of the Crystal Skull","movie","Action, Adventure",2008,"tt0367882",6.2,497367,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE","Netflix"
"Volver","movie","Comedy, Drama",2006,"tt0441909",7.6,108826,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GF, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE","Netflix"
"Syriana","movie","Drama, Thriller",2005,"tt0365737",6.9,135491,"BE, SG","Netflix"
"Stand by Me","movie","Adventure, Comedy, Drama",1986,"tt0092005",8.1,453198,"AE, AG, AR, AZ, BB, BM, BO, BR, BS, BY, BZ, CA, CH, CL, CO, CR, CU, CY, DO, EC, FJ, GB, GF, GG, GI, GR, GT, HK, HN, ID, IE, IS, IT, JM, LC, MC, MD, MT, MX, MY, NI, PA, PE, PH, PY, SG, SM, SV, TC, TH, TT, TW, UA, US, UY, VE","Netflix"
"The Godfather","movie","Crime, Drama",1972,"tt0068646",9.2,2067715,"AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BH, BO, BR, BZ, CA, CH, CI, CL, CM, CO, CR, CV, CZ, DE, DK, DO, DZ, EC, EG, ES, FI, FJ, FR, GF, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW","Netflix"
"The Godfather Part II","movie","Crime, Drama",1974,"tt0071562",9,1396513,"AO, CI, CM, CV, GH, GQ, KE, MG, ML, MU, MZ, NE, NG, SC, SN, TD, TZ, UG, ZA, ZM, ZW","Netflix"
"In China They Eat Dogs","movie","Action, Comedy, Crime",1999,"tt0180748",7.3,23352,"DK, FI, NO, SE","Netflix"
"Live Flesh","movie","Drama",1997,"tt0118819",7.3,34284,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE","Netflix"
"Batman Begins","movie","Action, Crime, Drama",2005,"tt0372784",8.2,1613469,"AD, AT, AU, BA, BG, CA, CH, CZ, DE, DK, ES, FI, FJ, HK, HR, HU, ID, IN, JP, KR, LI, LU, MD, ME, MK, MY, NO, NZ, PH, PK, PL, PT, RO, RS, SE, SG, SI, SK, TH, TW","Netflix"
"The Shawshank Redemption","movie","Drama",1994,"tt0111161",9.3,2965080,"AD, BA, BE, BG, CA, CV, CZ, ES, HR, HU, IN, JP, MD, ME, MK, MZ, NL, PL, PT, RO, RS, SI, SK","Netflix"
"Terminator 2: Judgment Day","movie","Action, Adventure, Sci-Fi",1991,"tt0103064",8.6,1204001,"AD, AE, AO, AR, AU, BE, BH, BO, BR, BZ, CA, CH, CL, CO, CR, CV, CY, DK, DZ, EC, EG, ES, FI, FR, GF, GH, GQ, GR, GT, HK, HN, IL, IQ, IS, IT, JO, JP, KE, KR, KW, LB, LU, LY, MA, MC, MX, MZ, NG, NI, NO, NZ, OM, PA, PE, PF, PL, PS, PT, PY, QA, SA, SC, SE, SV, TN, TR, TW, TZ, UG, UY, VE, YE, ZA, ZM, ZW","Netflix"
"A River Runs Through It","movie","Drama",1992,"tt0105265",7.2,66822,"KR","Netflix"
"Terminator 3: Rise of the Machines","movie","Action, Sci-Fi",2003,"tt0181852",6.3,424048,"AE, BH, DZ, EE, EG, IQ, JO, KW, LB, LY, MA, OM, PS, QA, SA, TN, YE","Netflix"
"Ocean's Thirteen","movie","Crime, Thriller",2007,"tt0496806",6.9,372936,"BE","Netflix"
"Swimming Pool","movie","Crime, Drama, Mystery",2003,"tt0324133",6.7,49161,"BG, EE, GR, IS, KR, LI, LT, LV, NL, PT, RO","Netflix"
"Beverly Hills Cop III","movie","Action, Comedy, Crime",1994,"tt0109254",5.5,96100,"ES, IT, KR, NZ","Netflix"
"Catwoman","movie","Action, Crime, Fantasy",2004,"tt0327554",3.4,127678,"BE","Netflix"
"Mystic River","movie","Crime, Drama, Mystery",2003,"tt0327056",7.9,495173,"AD, AT, BE, CH, DE, ES, IT, LI, LU, PT, SM","Netflix"
"Eyes Wide Shut","movie","Drama, Mystery, Thriller",1999,"tt0120663",7.5,386661,"AD, ES, GB, GG, IE, PT","Netflix"
"Das Boot","movie","Drama, War",1981,"tt0082096",8.4,270144,"BE, DK, FI, LU, MT, NL, NO, SE","Netflix"
"A Fistful of Dollars","movie","Action, Drama, Western",1964,"tt0058461",7.9,238699,"AT, CH, DE, IT, LI, SM","Netflix"
"Chocolat","movie","Drama, Romance",2000,"tt0241303",7.2,204581,"BE, CA, NL","Netflix"
"Kill Bill: Vol. 2","movie","Action, Crime, Thriller",2004,"tt0378194",8,823126,"AE, AL, AO, AT, AU, AZ, BG, BH, BY, CA, CI, CM, CZ, DE, DK, EE, EG, FI, FJ, GH, GQ, GR, HR, HU, IQ, IS, IT, JO, KE, KR, KW, LB, LI, LT, LU, LV, LY, MC, MD, ME, MK, MT, MZ, NE, NG, NO, NZ, OM, PL, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, TR, TZ, UA, UG, YE, ZA, ZM, ZW","Netflix"
"Driving Miss Daisy","movie","Comedy, Drama",1989,"tt0097239",7.3,119308,"KR","Netflix"
"Summer in Berlin","movie","Drama",2005,"tt0477877",6.9,3005,"AT, CH, DE","Netflix"
"The Pianist","movie","Biography, Drama, Music",2002,"tt0253474",8.5,940066,"AR, BO, BR, BZ, CL, CO, CR, EC, GT, HN, MX, NI, PA, PE, PY, SV, UY, VE","Netflix"
"The Day After Tomorrow","movie","Action, Adventure, Sci-Fi",2004,"tt0319262",6.5,488408,"AD, AE, AL, AO, BA, BE, BG, BH, CA, CH, CI, CM, CV, CY, CZ, DZ, EE, EG, ES, FJ, FR, GB, GF, GG, GH, GQ, GR, HK, HR, HU, ID, IE, IL, IQ, JO, JP, KE, KR, KW, LB, LT, LU, LV, LY, MA, MC, ME, MG, MK, ML, MU, MY, MZ, NE, NG, NL, OM, PF, PH, PL, PS, PT, QA, RO, RS, SA, SC, SG, SI, SK, SN, TD, TH, TN, TR, TW, TZ, UG, YE, ZA, ZM, ZW","Netflix"
"A Beautiful Mind","movie","Biography, Drama, Mystery",2001,"tt0268978",8.2,1004931,"AL, HR, JO, PK","Netflix"
"Sissi","movie","Comedy, Drama, History",1955,"tt0048624",7,10239,"AT, CH, DE","Netflix"
"Sissi: The Young Empress","movie","Drama, History",1956,"tt0049762",6.6,7501,"AT, CH, DE","Netflix"
"Sissi: The Fateful Years of an Empress","movie","Drama, History, Romance",1957,"tt0050974",6.6,6133,"AT, CH, DE","Netflix"
"Erin Brockovich","movie","Biography, Drama",2000,"tt0195685",7.4,227440,"AD, AL, BA, BG, CH, CZ, DZ, FR, GB, GF, GG, GI, HR, HU, IE, MA, MC, ME, MK, MU, PF, PL, RO, RS, SI, SK, TN","Netflix"
"As It Is in Heaven","movie","Comedy, Drama, Music",2004,"tt0382330",7.5,18478,"DK, FI, NO, SE","Netflix"
"My Own Private Idaho","movie","Drama",1991,"tt0102494",7,63369,"JP","Netflix"
"The African Queen","movie","Adventure, Drama, Romance",1951,"tt0043265",7.7,85664,"BG, CY, CZ, DK, EE, FI, GR, HR, HU, IS, IT, LT, LV, MT, NL, NO, PT, RO, SE, SI, SK","Netflix"
"The Seventh Seal","movie","Drama, Fantasy",1957,"tt0050976",8.1,203105,"DK, NO, SE","Netflix"
"The Green Mile","movie","Crime, Drama, Fantasy",1999,"tt0120689",8.6,1446478,"AD, AE, AL, AZ, BA, BE, BG, BH, BY, CH, CZ, DZ, EE, EG, FJ, FR, GB, GF, GG, GI, HK, HR, HU, ID, IE, IL, IN, IQ, IT, JO, KW, LB, LT, LU, LV, LY, MA, MC, MD, ME, MK, MT, MY, NL, OM, PF, PH, PK, PL, PS, QA, RO, RS, SA, SG, SI, SK, SM, TD, TH, TN, TW, UA, YE","Netflix"
"Reservoir Dogs","movie","Crime, Thriller",1992,"tt0105236",8.3,1111695,"GB, GG, GI, IE, MT","Netflix"
"Poseidon","movie","Action, Adventure, Thriller",2006,"tt0409182",5.7,111849,"JP","Netflix"
"Monster","movie","Biography, Crime, Drama",2003,"tt0340855",7.3,165230,"KR","Netflix"
